Season,Date,Team,Pts_deducted,Notes
1890/1891,,Sunderland,2,Fielded an ineligible player (Teddy Doig)
1926/1927,,Stockport County,2,Fielded an ineligible player (Joe Smith)
1973/1974,,Scunthorpe United,-2,Points added after Exeter cancelled (without permission) fixture due to injuries and illness
1973/1974,,Newport County,1,Fielded an ineligible player (David Jenkins)
1973/1974,,Preston North End,1,Fielded an ineligible player (Dave Carrick)
1974/1975,,Aldershot,1,Fielded an ineligible player (John Sainty)
1981/1982,,Mansfield Town,2,Fielded an unregistered player (Colin Calderwood)
1981/1982,,Bristol Rovers,2,Fielded an unregistered player (Steve Bailey)
1982/1983,,Blackpool,2,Fielded an ineligible player (John Butler)
1987/1988,,Tranmere Rovers,2,Postponed match against Bolton without permission
1987/1988,,Halifax Town,1,Fielded an unregistered player
1990/1991,,Manchester United,1,Bringing the game into disrepute during fixture against Arsenal
1990/1991,,Arsenal,2,Bringing the game into disrepute during fixture against Manchester United (2 pts because of similar brawl previous season against Norwich)
1996/1997,,Brighton & Hove Albion,2,Pitch invasion in match against York City causing abandonment
1996/1997,,Middlesbrough,3,Postponed match against Blackburn without permission
1997/1998,,Leyton Orient,3,Fielded suspended players (Mark Warren; Simon Clark; Stuart Hicks)
2000/2001,,Chesterfield,9,Financial irregularities
2002/2003,,Boston United,4,Financial irregularities
2004/2005,,Cambridge United,10,Entered administration
2004/2005,,Wrexham,10,Entered administration
2006/2007,,Boston United,10,Entered administration
2006/2007,,Rotherham United,10,Entered administration
2006/2007,,Leeds United,10,Entered administration
2007/2008,,Rotherham United,10,Entered administration
2007/2008,,Luton Town,10,Entered administration
2007/2008,,Leeds United,15,Breach of financial rules
2007/2008,,Bournemouth,10,Entered administration
2008/2009,,Rotherham United,17,Breach of insolvency rules
2008/2009,,Luton Town,30,Breach of insolvency rules and misconduct
2008/2009,,Bournemouth,17,Breach of insolvency rules
2008/2009,,Darlington,10,Entered administration
2008/2009,,Stockport County,10,Entered administration
2009/2010,,Southampton,10,Entered administration
2009/2010,,Hartlepool United,3,Fielded an ineligible player (Gary Liddle)
2009/2010,,Crystal Palace,10,Entered administration
2009/2010,,Portsmouth,9,Entered administration
2010/2011,,Torquay United,1,Fielded an ineligible player (Jake Robinson)
2010/2011,,Hereford United,3,Fielded an ineligible player (Rob Purdie)
2010/2011,,Plymouth Argyle,10,Entered administration
2011/2012,,Port Vale,10,Entered administration
2011/2012,,Portsmouth,10,Entered administration
2012/2013,,Aldershot Town,10,Entered administration
2012/2013,,Portsmouth,10,Breach of insolvency rules
2012/2013,,Coventry City,10,Entered administration
2013/2014,,AFC Wimbledon,3,Fielded an ineligible player (Jake Nicholson)
2013/2014,,Coventry City,10,Went into liquidation
2014/2015,,Rotherham United,3,Fielded an ineligible player (Farrend Rawson)
2018/2019,2019-05-03,Brentford,-3,Brentford awarded three points for a 1-0 win after match against Bolton on 2019-04-27 was called off after player strike action due to unpaid wages.
2018/2019,2019-03-22,Birmingham City,9,Breach of financial rules
2019/2020,2019-08-01,Bury,12,Insolvency. The club were expelled from the Football League on 2019-08-27.
2019/2020,2019-08-01,Bolton Wanderers,12,Entered administration
2019/2020,2019-12-19,Macclesfield Town,4,Failure to pay player wages and failure to fulfil fixture (against Crewe Alexandra). Original six-point deduction was reduced to four points on 2020-03-17 following an appeal.
2019/2020,2020-05-07,Macclesfield Town,7,Failure to pay player wages and failure to fulfil fixture (against Plymouth Argyle)
2019/2020,2020-06-19,Macclesfield Town,2,Failure to pay player wages
2019/2020,2020-08-11,Macclesfield Town,4,Failure to pay player wages and failure to act with utmost good faith in respect of matters with the EFL and for breaching an order, requriement, direction or instruction of the league
2019/2020,2020-07-22,Wigan Athletic,12,Entered administration (points deduction applied at the end of the season)
2020/2021,2020-08-01,Sheffield Wednesday,6,Breach of Profitability and Sustainability Rules. An initial 12-point pentalty was reduced to six points on  2020-11-04 following decision from an Independent League Arbitration panel.
2021/2022,2021-09-22,Derby County,12,Entered administration
2021/2022,2021-11-16,Derby County,9,Breach of EFL accounting rules
2021/2022,2021-11-17,Reading,6,Breach of financial rules
2022/2023,2023-04-04,Reading,6,Failure to follow league-opposed financial business plan
2022/2023,2023-03-20,Wigan Athletic,3,Late payment of player wages in March 2023
2023/2024,2023-11-17,Everton,6,Breach of profit and sustainability rules. An initial 10-point deduction was reduced to six points on 2024-02-26 following an appeal.
2023/2024,2024-04-08,Everton,2,Breach of profit and sustainability rules
2023/2024,2024-03-18,Nottingham Forest,4,Breach of profit and sustainability rules
2023/2024,2023-08-01,Wigan Athletic,4,Late payment of player and staff wages in May 2023
2023/2024,2023-08-01,Wigan Athletic,4,Breach of financial rules (missed deadline to deposit 125% of monthly wage bill)
2023/2024,2023-08-16,Reading,1,Late payment of player wages during 2022/2023 season
2023/2024,2023-09-13,Reading,3,Late payment of player and staff wages
2023/2024,2024-02-27,Reading,2,Late HMRC payment
2023/2024,2024-04-09,Morecambe,3,Late payment of player wages
2024/2025,2024-08-01,Sheffield United,2,Default on payments to other clubs during 2022/2023 season
2025/2026,2025-10-24,Sheffield Wednesday,12,Entered administration
2025/2026,2025-12-01,Sheffield Wednesday,6,Multiple breaches of EFL Regulations relating to payment obligations






